TestTargetsPerCommit,RL,RF,RRF,MART,RankNet,RankBoost,Coordinate Ascent,LambdaMART,RLMLP,kNN,io,normal,RPA
1,1,0,0,0,0,0,0,0,1,0,,,
21,0.758864391422531,0,0,0,0,0,0,0,0.762186650558744,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
42,0.749794801641587,0,0.889536837991011,0,0,0,0,0,0.754316982606996,0,,,
10,0.835324675324676,0,0.872207792207792,0,0,0,0,0,0.848311688311688,0,,,
10,0.801558441558442,0,0.942597402597403,0,0,0,0,0,0.817402597402597,0,,,
26,0.785179809708112,0,0.924092888243832,0,0,0,0,0,0.7870343492985,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
4,0.726666666666667,0,0.933333333333333,0,0,0,0,0,0.77,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.746813651464814,0,0.931833282996074,0,0,0,0,0,0.80338266384778,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
26,0.797710046766651,0,0.880470891791647,0,0,0,0,0,0.817174649250121,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.792832674571805,0,0.829090909090909,0,0,0,0,0,0.796811594202899,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.797885835095138,0,0.842434309876171,0,0,0,0,0,0.825853216550891,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
37,0.734884779516358,0,0.859032716927454,0,0,0,0,0,0.721815078236131,0,,,
61,0.704117062852278,0,0.912896776773162,0,0,0,0,0,0.726567437541113,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
5,0.725454545454546,0,0.929090909090909,0,0,0,0,0,0.716363636363636,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.752542819499341,0,0.900105401844532,0,0,0,0,0,0.73296442687747,0,,,
22,0.740764163372859,0,0.899472990777339,0,0,0,0,0,0.75836627140975,0,,,
22,0.737075098814229,0,0.900131752305665,0,0,0,0,0,0.737839262187088,0,,,
22,0.769169960474308,0,0.900790513833992,0,0,0,0,0,0.737127799736495,0,,,
22,0.739156785243742,0,0.897470355731225,0,0,0,0,0,0.737733860342556,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.957142857142857,0,1,0,0,0,0,0,0.978571428571428,0,,,
25,0.72537556561086,0,0.908217194570136,0,0,0,0,0,0.742588235294118,0,,,
26,0.815868408321239,0,0.90482180293501,0,0,0,0,0,0.812223834865344,0,,,
15,0.70241935483871,0,0.926532258064516,0,0,0,0,0,0.694193548387097,0,,,
26,0.80690211256249,0,0.893823576842445,0,0,0,0,0,0.829592001290115,0,,,
22,0.754993412384717,0,0.893148880105402,0,0,0,0,0,0.769565217391304,0,,,
22,0.7633465085639,0,0.887220026350461,0,0,0,0,0,0.757444005270092,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.742766798418972,0,0.884664031620553,0,0,0,0,0,0.740764163372859,0,,,
22,0.761422924901186,0,0.892252964426877,0,0,0,0,0,0.756916996047431,0,,,
26,0.807031124012256,0,0.881841638445412,0,0,0,0,0,0.819206579583938,0,,,
22,0.745164690382082,0,0.883820816864295,0,0,0,0,0,0.760158102766799,0,,,
22,0.730434782608696,0,0.897733860342556,0,0,0,0,0,0.730592885375494,0,,,
22,0.723504611330698,0,0.880316205533597,0,0,0,0,0,0.706772068511199,0,,,
3,1,0,0.942857142857143,0,0,0,0,0,0.978571428571428,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
33,0.72500598611222,0,0.908620001596297,0,0,0,0,0,0.74795274962088,0,,,
26,0.809708111594904,0,0.892839864537978,0,0,0,0,0,0.808498629253346,0,,,
26,0.776052249637155,0,0.89582325431382,0,0,0,0,0,0.793420416061926,0,,,
31,0.727630568356375,0,0.893231566820277,0,0,0,0,0,0.713978494623656,0,,,
48,0.7080659583421,0,0.900802124973701,0,0,0,0,0,0.725223543025458,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
30,0.689127445795875,0,0.924188260179799,0,0,0,0,0,0.710438921205711,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
21,0.784415584415585,0,0.873814557535488,0,0,0,0,0,0.781365146481426,0,,,
3,0.785714285714286,0,0.928571428571428,0,0,0,0,0,0.785714285714286,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.761854424645122,0,0.871942011476896,0,0,0,0,0,0.765508909694957,0,,,
26,0.802160941783583,0,0.898855023383326,0,0,0,0,0,0.802338332527012,0,,,
4,0.846666666666667,0,0.956666666666667,0,0,0,0,0,0.853333333333333,0,,,
35,0.804211938296445,0,0.85692152917505,0,0,0,0,0,0.780469483568075,0,,,
27,0.747734487734488,0,0.901024531024531,0,0,0,0,0,0.745252525252525,0,,,
2,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
46,0.692441287935305,0,0.87950523708633,0,0,0,0,0,0.695544746501149,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
9,0.776842105263158,0,0.922105263157895,0,0,0,0,0,0.716491228070175,0,,,
22,0.75064558629776,0,0.883399209486166,0,0,0,0,0,0.737127799736495,0,,,
23,0.756151711378353,0,0.89218316373728,0,0,0,0,0,0.756914893617021,0,,,
22,0.75296442687747,0,0.88729907773386,0,0,0,0,0,0.742924901185771,0,,,
22,0.773781291172596,0,0.873017127799737,0,0,0,0,0,0.763293807641634,0,,,
3,0.964285714285714,0,0.785714285714286,0,0,0,0,0,0.942857142857143,0,,,
2,0.8,0,0.84,0,0,0,0,0,0.8,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.764285714285714,0,0.885714285714286,0,0,0,0,0,0.785714285714286,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
40,0.729467028003614,0,0.89589430894309,0,0,0,0,0,0.747127371273713,0,,,
28,0.725693544205341,0,0.882771584132746,0,0,0,0,0,0.733303085299456,0,,,
5,0.834545454545455,0,0.832727272727273,0,0,0,0,0,0.814545454545455,0,,,
5,0.923636363636364,0,0.825454545454545,0,0,0,0,0,0.854545454545455,0,,,
46,0.768884843782639,0,0.876959804243383,0,0,0,0,0,0.782608695652174,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.722714097496706,0,0.874571805006588,0,0,0,0,0,0.724479578392622,0,,,
46,0.683700874339769,0,0.876058607621378,0,0,0,0,0,0.678436931156934,0,,,
46,0.799910477156755,0,0.871349706066665,0,0,0,0,0,0.798454238906628,0,,,
46,0.750983259228313,0,0.870120259019427,0,0,0,0,0,0.747476947867864,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
20,0.78609756097561,0,0.894599303135889,0,0,0,0,0,0.772682926829268,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
15,0.817983870967742,0,0.932741935483871,0,0,0,0,0,0.827258064516129,0,,,
56,0.755642424645685,0,0.872772639563511,0,0,0,0,0,0.75375108124293,0,,,
15,0.778548387096774,0,0.888548387096774,0,0,0,0,0,0.791209677419355,0,,,
3,0.814285714285714,0,0.778571428571429,0,0,0,0,0,0.8,0,,,
44,0.734174327545114,0,0.911399387129725,0,0,0,0,0,0.725570309839973,0,,,
24,0.753183673469388,0,0.89269387755102,0,0,0,0,0,0.757959183673469,0,,,
4,0.966666666666667,0,0.67,0,0,0,0,0,0.966666666666667,0,,,
4,0.9,0,0.676666666666667,0,0,0,0,0,0.836666666666667,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.731778656126482,0,0.878471673254282,0,0,0,0,0,0.741686429512517,0,,,
22,0.745401844532279,0,0.879710144927536,0,0,0,0,0,0.764927536231884,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
22,0.738550724637681,0,0.878102766798419,0,0,0,0,0,0.766903820816864,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.935714285714286,0,1,0,0,0,0,0,0.871428571428571,0,,,
2,1,0,0.8,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
2,1,0,0.9,0,0,0,0,0,1,0,,,
17,0.826666666666667,0,0.890252100840336,0,0,0,0,0,0.79109243697479,0,,,
2,0.8,0,1,0,0,0,0,0,0.8,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.785714285714286,0,1,0,0,0,0,0,0.785714285714286,0,,,
65,0.716718091069236,0,0.888718304596167,0,0,0,0,0,0.712745422516415,0,,,
22,0.718339920948617,0,0.908379446640316,0,0,0,0,0,0.708115942028986,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
3,0.928571428571429,0,0.928571428571429,0,0,0,0,0,0.928571428571429,0,,,
3,0.871428571428571,0,0.714285714285714,0,0,0,0,0,0.957142857142857,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
22,0.759815546772069,0,0.881554677206851,0,0,0,0,0,0.757233201581028,0,,,
1,1,0,1,0,0,0,0,0,1,0,,,
21,0.842102083962549,0,0.862247055270311,0,0,0,0,0,0.817668378133495,0,,,
21,0.770975536091815,0,0.856931440652371,0,0,0,0,0,0.758018725460586,0,,,
6,0.757142857142857,0,0.879120879120879,0,0,0,0,0,0.727472527472528,0,,,
21,0.780851706433102,0,0.82552099063727,0,0,0,0,0,0.789036544850499,0,,,
50,0.810045428072219,0,0.889050669772859,0.908491555037857,0.721544554455445,0.859871869539896,0.678413511939429,0.913230052417007,0.809034362259755,0,,,
22,0.696021080368906,0.840869565217392,0.852490118577075,0.95836627140975,0.734650856389987,0.783135704874835,0.69262187088274,0.918577075098815,0.707694334650856,0.840316205533597,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
54,0.707665647298675,0.88963395422111,0.882311185246965,0.911444722453897,0.715177462700399,0.819646001297378,0.674258178111389,0.886342322305625,0.703734593642851,0.871615234917987,,,
1,1,1,1,1,1,1,1,1,1,1,,,
4,0.823333333333334,0.876666666666667,0.88,0.9,0.99,0.966666666666667,0.816666666666667,1,0.783333333333333,0.666666666666667,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.8,0.964285714285714,0.971428571428571,1,0.992857142857143,1,0.792857142857143,0.942857142857143,0.778571428571429,0.928571428571429,,,
70,0.712235112804486,0.933590479044479,0.925526777687401,0.901631062973586,0.691806156085449,0.748585127788005,0.719119825334989,0.881929020934116,0.730730767584229,0.786335031465388,,,
9,0.81859649122807,0.798245614035088,0.813333333333333,1,0.961052631578947,0.814035087719298,0.751578947368421,0.822456140350877,0.82280701754386,0.592982456140351,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,1,1,1,0.96,0.8,0.9,1,0.8,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
53,0.787991535884324,0.95412135817708,0.935192695781657,0.923744587472325,0.708405337095162,0.739728442955387,0.698949822684614,0.909680832304708,0.78226650208664,0.83945610219636,,,
18,0.813323850165956,0.945756282598388,0.921431958274064,0.958274063537221,0.746704599336179,0.839734471313419,0.716216216216216,0.889663347558084,0.850829777145567,0.820293978188715,,,
22,0.746719367588933,0.914308300395257,0.846534914361002,0.9433465085639,0.733702239789196,0.742819499341239,0.68935441370224,0.899183135704875,0.745823451910409,0.767061923583663,,,
3,0.821428571428571,1,1,1,0.992857142857143,1,0.921428571428571,1,0.842857142857143,0.928571428571429,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
29,0.70947983635301,0.945236703682058,0.907025131502046,0.922384570426651,0.67281122150789,0.752776154295734,0.718831092928112,0.892425482174167,0.699637638807715,0.859029807130333,,,
2,0.8,0.96,0.94,1,1,1,0.92,0.84,0.8,0.8,,,
2,0.8,1,1,1,1,1,0.94,0.84,0.8,0.8,,,
1,1,1,1,1,1,1,1,1,1,1,,,
22,0.704743083003953,0.930355731225297,0.885217391304348,0.958102766798419,0.732121212121212,0.729907773386034,0.693465085638999,0.898814229249012,0.734440052700922,0.771805006587615,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
27,0.788658008658009,0.947388167388168,0.92959595959596,0.927849927849928,0.689393939393939,0.789177489177489,0.694040404040404,0.902135642135642,0.795497835497836,0.851226551226551,,,
57,0.676027775585891,0.892854099266157,0.871454272863568,0.922307267418922,0.700145190562614,0.81627081196244,0.705638759567585,0.908245877061469,0.661903258896867,0.815323916988874,,,
1,1,1,1,1,1,1,1,1,1,1,,,
74,0.669272628333031,0.72823435516053,0.675722836930891,0.923221476510067,0.688918556140033,0.782913114456739,0.713430799927444,0.849446036640667,0.682802829675313,0.824589152911301,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,0.96,0.92,1,1,0.8,0.9,0.98,0.8,0.8,,,
22,0.745928853754941,0.63235836627141,0.558418972332016,0.971541501976285,0.729723320158103,0.738339920948617,0.689301712779974,0.879499341238472,0.762555994729908,0.749407114624506,,,
22,0.689881422924901,0.62137022397892,0.55802371541502,0.977865612648221,0.733754940711463,0.744400527009223,0.681949934123847,0.892147562582345,0.76205533596838,0.794202898550725,,,
22,0.739183135704875,0.62368906455863,0.547799736495389,0.972859025032938,0.73296442687747,0.739393939393939,0.682582345191041,0.882028985507247,0.781739130434783,0.797364953886693,,,
22,0.758761528326746,0.623662714097497,0.566139657444005,0.976811594202899,0.732990777338603,0.741765480895916,0.688484848484849,0.885744400527009,0.789828722002635,0.817127799736496,,,
5,0.794545454545455,0.765454545454545,0.763636363636364,0.945454545454546,0.961818181818182,0.927272727272728,0.836363636363636,0.941818181818182,0.810909090909091,0.927272727272727,,,
35,0.79056338028169,0.605720992622401,0.546941649899396,0.957813547954393,0.711522468142186,0.795908786049631,0.697645875251509,0.867753185781355,0.801415157612341,0.831857813547955,,,
35,0.795720992622401,0.605446009389671,0.551596244131455,0.96317907444668,0.712662642521798,0.791884641180416,0.693353454057679,0.853983903420523,0.799094567404427,0.799932930918847,,,
1,1,1,1,1,1,1,1,1,1,1,,,
54,0.741732925586137,0.631815401723659,0.548210545825225,0.958928736910388,0.708184598276341,0.819052914465759,0.698113242516912,0.877635066258919,0.740580113057177,0.828894449077936,,,
54,0.734953201742193,0.631505884533408,0.562287091094431,0.936910388286535,0.707771290890557,0.759151144472246,0.693092391807988,0.865150588453341,0.730286349735891,0.816013344453711,,,
1,1,1,1,1,1,1,1,1,1,1,,,
2,0.8,0.8,0.8,0.8,0.94,0.8,0.94,0.98,0.8,0.8,,,
38,0.790330721909669,0.628907934171092,0.574977653925022,0.938850623061149,0.715311004784689,0.741258741258741,0.687239076712761,0.874541248225459,0.792949156107051,0.866396761133603,,,
24,0.80134693877551,0.608326530612245,0.540795918367347,0.975510204081633,0.726428571428572,0.80265306122449,0.691061224489796,0.899836734693878,0.792734693877551,0.829387755102041,,,
28,0.811148561057817,0.634677210267047,0.600350012963443,0.90186673580503,0.709113300492611,0.871013741249676,0.716632097485092,0.882369717396941,0.784469795177599,0.79064039408867,,,
23,0.808140610545791,0.621646623496762,0.562118408880666,0.96577243293247,0.708024976873266,0.728723404255319,0.688020351526364,0.883071230342276,0.803492136910268,0.84736355226642,,,
10,0.801038961038961,0.653246753246753,0.603896103896104,0.976623376623377,0.987532467532468,0.945454545454546,0.727272727272727,0.928051948051948,0.777662337662338,0.883116883116883,,,
9,0.826666666666667,0.871578947368421,0.732982456140351,0.964912280701755,0.986666666666667,0.957894736842105,0.78280701754386,0.870526315789474,0.777543859649123,0.747368421052632,,,
83,0.687576653921073,0.70870582415204,0.763335463324641,0.903408329640203,0.688944314469168,0.80614674265926,0.705128984715594,0.859172189184453,0.691421975326455,0.794593257546868,,,
5,0.8,0.663636363636364,0.689090909090909,0.981818181818182,0.987272727272727,0.981818181818182,0.707272727272727,0.903636363636364,0.852727272727273,0.909090909090909,,,
8,0.772058823529412,0.665686274509804,0.698529411764706,0.955882352941176,0.96421568627451,0.676470588235294,0.778921568627451,0.941176470588235,0.794117647058824,0.794117647058823,,,
1,1,1,1,1,1,1,1,1,1,1,,,
48,0.720505470229329,0.619971596886177,0.558131706290764,0.93454134231012,0.706900904691774,0.767357458447297,0.73280559646539,0.817031348621923,0.714356722070272,0.834788554597097,,,
51,0.7290844791987,0.608421561305628,0.790814040328604,0.922813337433555,0.71577779730264,0.878750604050433,0.68062206211835,0.876169661292448,0.736833897113737,0.841892544919387,,,
24,0.796938775510204,0.605020408163265,0.599612244897959,0.966326530612245,0.72495918367347,0.810408163265306,0.685816326530612,0.91430612244898,0.813081632653061,0.824897959183674,,,
1,1,1,1,1,1,1,1,1,1,1,,,
65,0.697928788768484,0.622897560454812,0.745955266107938,0.928020071531522,0.688498371857151,0.778775423050232,0.718661186142102,0.83809747504404,0.703987615437997,0.830886670581327,,,
23,0.781012950971323,0.62886216466235,0.542414431082331,0.972710453283997,0.702428307123034,0.732654949121184,0.68672525439408,0.887326549491212,0.757354301572618,0.794865864939871,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
23,0.788899167437558,0.63290934320074,0.532377428307123,0.970629047178538,0.70268270120259,0.735892691951896,0.686517113783534,0.887812210915819,0.764176688251619,0.794865864939871,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
1,1,1,1,1,1,1,1,1,1,1,,,
3,0.828571428571429,0.9,0.871428571428571,0.714285714285714,0.935714285714286,0.785714285714286,0.878571428571429,0.957142857142857,0.807142857142857,0.714285714285714,,,
20,0.75177700348432,0.687317073170732,0.581080139372822,0.95191637630662,0.74425087108014,0.769686411149826,0.716202090592335,0.906689895470383,0.726062717770035,0.878397212543554,,,
